Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
03-Oct-2017,9893.3,9895.4,9831.05,9859.5,167833406,9698.55
04-Oct-2017,9884.35,9938.3,9850.65,9914.9,160993982,8790.29
05-Oct-2017,9927,9945.95,9881.85,9888.7,152362417,7823.55
06-Oct-2017,9908.15,9989.35,9906.6,9979.7,201858899,9986.18
09-Oct-2017,9988.2,10015.75,9959.45,9988.75,148395842,7425.19
10-Oct-2017,10013.7,10034,10002.3,10016.95,153246570,8055.5
11-Oct-2017,10042.6,10067.25,9955.8,9984.8,195593061,10227.9
12-Oct-2017,10011.2,10104.45,9977.1,10096.4,207106672,10579.8
13-Oct-2017,10123.7,10191.9,10120.1,10167.45,237230047,12379.8
16-Oct-2017,10207.4,10242.95,10175.1,10230.85,209327364,11774.68
17-Oct-2017,10227.65,10251.85,10212.6,10234.45,201782377,10422.81
18-Oct-2017,10209.4,10236.45,10175.75,10210.85,262111790,13177.83
19-Oct-2017,10210.35,10211.95,10123.35,10146.55,31086379,1685.16
23-Oct-2017,10176.65,10224.15,10124.5,10184.85,224799211,12144.31
24-Oct-2017,10218.55,10237.75,10182.4,10207.7,223914325,11539.73
25-Oct-2017,10321.15,10340.55,10240.9,10295.35,612620774,25922.51
26-Oct-2017,10291.8,10355.65,10271.85,10343.8,443036008,23135.46
27-Oct-2017,10362.3,10366.15,10311.3,10323.05,322411410,15149.9
30-Oct-2017,10353.85,10384.5,10344.3,10363.65,244193178,12558.7
31-Oct-2017,10364.9,10367.7,10323.95,10335.3,239809700,12830.06
01-Nov-2017,10390.35,10451.65,10383.05,10440.5,268270466,14206.21
02-Nov-2017,10440.5,10453,10412.55,10423.8,207735021,10779.63
03-Nov-2017,10461.55,10461.7,10403.6,10452.5,206101238,10070.83
06-Nov-2017,10431.75,10490.45,10413.75,10451.8,199559409,10231.76
07-Nov-2017,10477.15,10485.75,10340.8,10350.15,295830692,16182.46
08-Nov-2017,10361.95,10384.25,10285.5,10303.15,282950322,14789.39
09-Nov-2017,10358.65,10368.45,10266.95,10308.95,247606613,12697.28
10-Nov-2017,10304.35,10344.95,10254.1,10321.75,287962940,14682.6
13-Nov-2017,10322,10334.15,10216.25,10224.95,216799588,11783.34
14-Nov-2017,10223.4,10248,10175.55,10186.6,314413476,15398.97
15-Nov-2017,10171.95,10175.45,10094,10118.05,213836202,11609.18
16-Nov-2017,10152.9,10232.25,10139.2,10214.75,188180035,9995.55
17-Nov-2017,10324.55,10343.6,10268.05,10283.6,209592893,11023.35
20-Nov-2017,10287.2,10309.85,10261.5,10298.75,151751415,8502.63
21-Nov-2017,10329.25,10358.7,10315.05,10326.9,191859084,10443.99
22-Nov-2017,10350.8,10368.7,10309.55,10342.3,162504058,9136.04
23-Nov-2017,10358.45,10374.3,10307.3,10348.75,157651842,8789.42
24-Nov-2017,10366.8,10404.5,10362.25,10389.7,133177324,8197.66
27-Nov-2017,10361.05,10407.15,10340.2,10399.55,146276512,7551.71
28-Nov-2017,10387.9,10409.55,10355.2,10370.25,202050866,9979.25
29-Nov-2017,10376.65,10392.95,10345.9,10361.3,157192930,8852.8
30-Nov-2017,10332.7,10332.7,10211.25,10226.55,353105240,19005.56
01-Dec-2017,10263.7,10272.7,10108.55,10121.8,147765528,8518.58
04-Dec-2017,10175.05,10179.2,10095.7,10127.75,153240126,8458.66
05-Dec-2017,10118.25,10147.95,10069.1,10118.25,160253042,8749.09
06-Dec-2017,10088.8,10104.2,10033.35,10044.1,171208366,9598.82
07-Dec-2017,10063.45,10182.65,10061.9,10166.7,171339022,9910.28
08-Dec-2017,10198.45,10270.85,10195.25,10265.65,206234019,11468.15
11-Dec-2017,10310.5,10329.2,10282.05,10322.25,152034656,8453.76
12-Dec-2017,10324.9,10326.1,10230.2,10240.15,180546894,10380.24
13-Dec-2017,10236.6,10296.55,10169.85,10192.95,187191964,10070.44
14-Dec-2017,10229.3,10276.1,10141.55,10252.1,159103960,9549.23
15-Dec-2017,10345.65,10373.1,10319.65,10333.25,262974703,15106.77
18-Dec-2017,10263.1,10443.55,10074.8,10388.75,237506982,12921.61
19-Dec-2017,10414.8,10472.2,10406,10463.2,174340665,10982.95
20-Dec-2017,10494.4,10494.45,10437.15,10444.2,180597460,11303
21-Dec-2017,10473.95,10473.95,10426.9,10440.3,156646972,9411.2
22-Dec-2017,10457.3,10501.1,10448.25,10493,143119167,8755.32
26-Dec-2017,10512.3,10545.45,10477.95,10531.5,160417384,9043.77
27-Dec-2017,10531.05,10552.4,10469.25,10490.75,170307122,9077.6
28-Dec-2017,10498.2,10534.55,10460.45,10477.9,281309989,14551.58
29-Dec-2017,10492.35,10538.7,10488.65,10530.7,156736221,8943.1
01-Jan-2018,10531.7,10537.85,10423.1,10435.55,134532090,7546.56
02-Jan-2018,10477.55,10495.2,10404.65,10442.2,158092430,8665.47
03-Jan-2018,10482.65,10503.6,10429.55,10443.2,172516859,9541.6
04-Jan-2018,10469.4,10513,10441.45,10504.8,180257392,9561.95
05-Jan-2018,10534.25,10566.1,10520.1,10558.85,186469717,10306.22
08-Jan-2018,10591.7,10631.2,10588.55,10623.6,174181231,9907.27
09-Jan-2018,10645.1,10659.15,10603.6,10637,211291563,10733.37
10-Jan-2018,10652.05,10655.5,10592.7,10632.2,181900014,9720.65
11-Jan-2018,10637.05,10664.6,10612.35,10651.2,158630055,9635.01
12-Jan-2018,10682.55,10690.4,10597.1,10681.25,180592153,11005.12
15-Jan-2018,10718.5,10782.65,10713.8,10741.55,181262074,11333.11
16-Jan-2018,10761.5,10762.35,10687.85,10700.45,217468081,12709.44
17-Jan-2018,10702.45,10803,10666.75,10788.55,260488465,14334.26
18-Jan-2018,10873.4,10887.5,10782.4,10817,321609375,17930.3
19-Jan-2018,10829.2,10906.85,10793.9,10894.7,214011963,11792.26
22-Jan-2018,10883.2,10975.1,10881.4,10966.2,238815813,14469.06
23-Jan-2018,10997.4,11092.9,10994.55,11083.7,293445774,16423.91
24-Jan-2018,11069.35,11110.1,11046.15,11086,292197072,16915.14
25-Jan-2018,11095.6,11095.6,11009.2,11069.65,340469462,19939.54
29-Jan-2018,11079.35,11171.55,11075.95,11130.4,249220726,16118.36
30-Jan-2018,11120.85,11121.1,11033.9,11049.65,234969503,13232.19
31-Jan-2018,11018.8,11058.5,10979.3,11027.7,253462573,14459.69
01-Feb-2018,11044.55,11117.35,10878.8,11016.9,315743486,17719.4
02-Feb-2018,10938.2,10954.95,10736.1,10760.6,291431992,16542.51
05-Feb-2018,10604.3,10702.75,10586.8,10666.55,247479157,13980.63
06-Feb-2018,10295.15,10594.15,10276.3,10498.25,274656443,15606.34
07-Feb-2018,10607.2,10614,10446.4,10476.7,258095424,13971.66
08-Feb-2018,10518.5,10637.8,10479.55,10576.85,239407938,12569.23
09-Feb-2018,10416.5,10480.2,10398.2,10454.95,197502912,10602.15
12-Feb-2018,10518.2,10555.5,10485.4,10539.75,224114801,11133.78
14-Feb-2018,10585.75,10590.55,10456.65,10500.9,236329440,12188.94
15-Feb-2018,10537.9,10618.1,10511.05,10545.5,217090245,11035.38
16-Feb-2018,10596.2,10612.9,10434.05,10452.3,190043189,10026.71
19-Feb-2018,10488.9,10489.35,10302.75,10378.4,193087737,9871.36
20-Feb-2018,10391,10429.35,10347.65,10360.4,193464871,9619.95
21-Feb-2018,10426,10426.1,10349.6,10397.45,241331542,12996.36
22-Feb-2018,10354.35,10397.55,10340.65,10382.7,323259078,17711.46
23-Feb-2018,10408.1,10499.1,10396.65,10491.05,217134363,12704.32
26-Feb-2018,10526.55,10592.95,10520.2,10582.6,177238616,10274.89
27-Feb-2018,10615.2,10631.65,10537.25,10554.3,193250158,10276.42
28-Feb-2018,10488.95,10535.5,10461.55,10492.85,294794221,16299.11
01-Mar-2018,10479.95,10525.5,10447.15,10458.35,181378504,10179.48
05-Mar-2018,10428.3,10428.7,10323.9,10358.85,199975720,10673.92
06-Mar-2018,10420.5,10441.35,10215.9,10249.25,229782297,12143.95
07-Mar-2018,10232.95,10243.35,10141.55,10154.2,257200599,12128.88
08-Mar-2018,10216.25,10270.35,10146.4,10242.65,233377712,11479.51
09-Mar-2018,10271.3,10296.7,10211.9,10226.85,192333334,9874.81
12-Mar-2018,10301.6,10433.65,10295.45,10421.4,223135459,10968.95
13-Mar-2018,10389.5,10478.6,10377.85,10426.85,274852794,23965.25
14-Mar-2018,10393.05,10420.35,10336.3,10410.9,186991169,9564.68
15-Mar-2018,10405.45,10420,10346.2,10360.15,179308593,8588.01
16-Mar-2018,10345.15,10346.3,10180.25,10195.15,338702439,18811.97
19-Mar-2018,10215.35,10224.55,10075.3,10094.25,216670033,11111.43
20-Mar-2018,10051.55,10155.65,10049.1,10124.35,209327593,10947.12
21-Mar-2018,10181.95,10227.3,10132.95,10155.25,211060429,11269.73
22-Mar-2018,10167.5,10207.85,10105.4,10114.75,237632983,11558.88
23-Mar-2018,9968.8,10027.7,9951.9,9998.05,294515154,14435.17
26-Mar-2018,9989.15,10143.5,9958.55,10130.65,270665332,12695.47
27-Mar-2018,10188,10207.9,10139.65,10184.15,232713976,11175.79
28-Mar-2018,10143.6,10158.35,10096.9,10113.7,354977198,18807.48
02-Apr-2018,10151.65,10220.1,10127.75,10211.8,223135459,10968.95
03-Apr-2018,10186.85,10255.35,10171.05,10245,211652029,10167.12
04-Apr-2018,10274.6,10279.85,10111.3,10128.4,238182921,11861.79
05-Apr-2018,10228.45,10331.8,10227.45,10325.15,244116235,11674.92
06-Apr-2018,10322.75,10350.45,10290.85,10331.6,206355691,10131.74
09-Apr-2018,10333.7,10397.7,10328.5,10379.35,228512954,10714.13
10-Apr-2018,10412.9,10424.85,10381.5,10402.25,259523888,11905.12
11-Apr-2018,10428.15,10428.15,10355.6,10417.15,258077363,11790.58
12-Apr-2018,10410.65,10469.9,10395.25,10458.65,246027888,12249.66
13-Apr-2018,10495.3,10519.9,10451.45,10480.6,219724716,12354.55
16-Apr-2018,10398.3,10540.15,10396.35,10528.35,200950876,11242.05
17-Apr-2018,10557.3,10560.45,10495.65,10548.7,212449535,10501.71
18-Apr-2018,10578.9,10594.2,10509.7,10526.2,211823044,9888.65
19-Apr-2018,10563.65,10572.2,10546.2,10565.3,270740891,12559.11
20-Apr-2018,10560.35,10582.35,10527.45,10564.05,252227268,15372.66
23-Apr-2018,10592.8,10638.35,10514.95,10584.7,200203196,13642.67
24-Apr-2018,10578.1,10636.8,10569,10614.35,225972673,12281.53
25-Apr-2018,10612.4,10612.6,10536.45,10570.55,195129613,11125.11
26-Apr-2018,10586.5,10628.4,10559.65,10617.8,345536167,19200.41
27-Apr-2018,10651.65,10719.8,10647.55,10692.3,306671172,16886.89
30-Apr-2018,10705.75,10759,10704.6,10739.35,179163468,10412.57
02-May-2018,10783.85,10784.65,10689.8,10718.05,236757172,14820.58
03-May-2018,10720.15,10720.6,10647.45,10679.65,190869804,11018.21
04-May-2018,10700.45,10700.45,10601.6,10618.25,192296041,9721.56
07-May-2018,10653.15,10725.65,10635.65,10715.5,173620240,9239.44
08-May-2018,10757.9,10758.55,10689.4,10717.8,278118616,12783.49
